Time,ChannelA,ChannelB,ChannelD
(s),(V),(mV),(V)
,,,
0.00090048,1.653543,90.55118,3.346457
0.00090648,1.614173,86.61417,3.385827
0.00091249,1.653543,90.55118,3.385827
0.00091849,1.614173,94.48818,3.425197
0.00092449,1.614173,86.61417,3.385827
0.0009305,1.653543,90.55118,3.307086
0.0009365,1.574803,90.55118,3.425197
0.0009425,1.535433,90.55118,3.385827
0.00094851,1.574803,94.48818,3.425197
0.00095451,1.692913,90.55118,3.385827
0.00096051,1.653543,86.61417,3.385827
0.00096652,1.614173,94.48818,3.385827
0.00097252,1.574803,86.61417,3.385827
0.00097852,1.614173,94.48818,3.385827
0.00098452,1.653543,86.61417,3.385827
0.00099053,1.574803,86.61417,3.385827
0.00099653,1.614173,86.61417,3.385827
0.00100253,1.614173,86.61417,3.385827
0.00100854,1.653543,90.55118,3.346457
0.00101454,1.614173,90.55118,3.385827
0.00102054,1.574803,86.61417,3.425197
0.00102655,1.574803,90.55118,3.346457
0.00103255,1.614173,90.55118,3.385827
0.00103855,1.614173,90.55118,3.425197
0.00104456,1.574803,94.48818,3.385827
0.00105056,1.614173,86.61417,3.385827
0.00105656,1.574803,90.55118,3.385827
0.00106257,1.614173,90.55118,3.385827
0.00106857,1.614173,90.55118,3.385827
0.00107457,1.574803,86.61417,3.385827
0.00108058,1.574803,90.55118,3.385827
0.00108658,1.614173,94.48818,3.346457
0.00109258,1.574803,94.48818,3.385827
0.00109859,1.574803,94.48818,3.385827
0.00110459,1.614173,82.67715,3.425197
0.00111059,1.614173,94.48818,3.385827
0.0011166,1.614173,86.61417,3.385827
0.0011226,1.614173,90.55118,3.385827
0.0011286,1.614173,90.55118,3.346457
0.0011346,1.653543,86.61417,3.385827
0.00114061,1.574803,90.55118,3.385827
0.00114661,1.653543,90.55118,3.425197
0.00115261,1.614173,86.61417,3.425197
0.00115862,1.653543,90.55118,3.385827
0.00116462,1.574803,94.48818,3.385827
0.00117062,1.574803,94.48818,3.385827
0.00117663,1.614173,90.55118,3.346457
0.00118263,1.653543,86.61417,3.425197
0.00118863,1.614173,90.55118,3.385827
0.00119464,1.574803,86.61417,3.385827
0.00120064,1.574803,90.55118,3.385827
0.00120664,1.692913,82.67715,3.385827
0.00121265,1.653543,90.55118,3.385827
0.00121865,1.614173,90.55118,3.385827
0.00122465,1.574803,86.61417,3.385827
0.00123066,1.653543,90.55118,3.346457
0.00123666,1.653543,94.48818,3.385827
0.00124266,1.574803,90.55118,3.385827
0.00124867,1.535433,90.55118,3.385827
0.00125467,1.614173,90.55118,3.425197
0.00126067,1.614173,90.55118,3.385827
0.00126668,1.614173,90.55118,3.385827
